user_id,nivel_usuario,longitud,tipo_simple,tipo_compleja,tipo_codigo,latencia_historica,texto_solicitud,demanda_predicha,tiempo_inicio,tiempo_fin,tiempo_respuesta
user_intermedio_1,1,4,0,1,0,0.3779244530406509,Análisis detallado de rendimiento.,6.722897170340894,2024-12-25 03:09:21,2024-12-25 03:09:22,1.4068969287289812
user_avanzado_2,2,7,1,0,0,0.9874943762429899,Consulta rápida sobre el estado del servidor.,7.004406907413717,2024-12-25 03:09:21,2024-12-25 03:09:23,1.9854732623544287
user_intermedio_1,1,7,1,0,0,0.995788075075455,Consulta rápida sobre el estado del servidor.,3.8350963858920193,2024-12-25 03:09:21,2024-12-25 03:09:21,0.26163032204827474
user_basico_2,0,4,0,0,1,0.3051381822684718,Compilación de código fuente.,9.040248707231532,2024-12-25 03:09:21,2024-12-25 03:09:22,1.2289732710549475
user_basico_2,0,4,0,1,0,0.17569812231821277,Análisis detallado de rendimiento.,6.2687831291447615,2024-12-25 03:09:21,2024-12-25 03:09:22,0.6036097788897867
user_intermedio_1,1,4,0,1,0,0.6470668493281561,Análisis detallado de rendimiento.,8.90287417851339,2024-12-25 03:09:21,2024-12-25 03:09:23,1.778524691527261
user_intermedio_1,1,7,1,0,0,0.958192910791397,Consulta rápida sobre el estado del servidor.,5.371875750454846,2024-12-25 03:09:21,2024-12-25 03:09:22,1.5358998229629925
user_basico_2,0,4,0,1,0,0.38117256508919295,Análisis detallado de rendimiento.,4.15242122445987,2024-12-25 03:09:21,2024-12-25 03:09:21,0.24784123230244343
user_avanzado_1,2,4,0,0,1,0.3358741288597117,Compilación de código fuente.,12.83653773387228,2024-12-25 03:09:21,2024-12-25 03:09:22,0.9359121518959194
user_basico_2,0,4,0,1,0,0.694611992331425,Análisis detallado de rendimiento.,9.5297166118883,2024-12-25 03:09:21,2024-12-25 03:09:22,0.6377280423897084
user_intermedio_2,1,4,0,1,0,0.5080375399431523,Evaluación de métricas avanzadas.,8.578314895763391,2024-12-25 03:09:21,2024-12-25 03:09:22,1.3439325572786784
user_intermedio_1,1,4,1,0,0,0.8822381553977406,Solicitud de información básica.,6.392182230489809,2024-12-25 03:09:21,2024-12-25 03:09:21,0.5495545430788445
user_intermedio_1,1,4,0,0,1,0.6928563893860299,Compilación de código fuente.,15.480090297316208,2024-12-25 03:09:21,2024-12-25 03:09:22,0.8489967492704987
user_basico_1,0,4,0,0,1,0.2357529414722685,Compilación de código fuente.,7.871827166727261,2024-12-25 03:09:21,2024-12-25 03:09:22,1.2539035499632436
user_basico_1,0,4,0,1,0,0.7486900776736789,Análisis detallado de rendimiento.,6.494430248764829,2024-12-25 03:09:21,2024-12-25 03:09:23,1.9193540803192548
user_basico_1,0,7,1,0,0,0.48107477196961423,Consulta rápida sobre el estado del servidor.,0.0,2024-12-25 03:09:21,2024-12-25 03:09:21,0.3968331694775358
user_basico_1,0,7,1,0,0,0.23555617659184214,Consulta rápida sobre el estado del servidor.,0.0,2024-12-25 03:09:21,2024-12-25 03:09:21,0.28104029495578764
user_intermedio_1,1,6,0,0,1,0.19926975354755222,Ejecución de script Python para análisis.,11.805497892624201,2024-12-25 03:09:21,2024-12-25 03:09:22,0.9618134901662442
user_avanzado_1,2,4,0,1,0,0.739671107593884,Evaluación de métricas avanzadas.,8.45242107099638,2024-12-25 03:09:21,2024-12-25 03:09:23,1.609210110845616
user_intermedio_1,1,4,0,0,1,0.8847901597429467,Compilación de código fuente.,13.005277934528468,2024-12-25 03:09:21,2024-12-25 03:09:23,1.9232599417563776
user_basico_1,0,4,1,0,0,0.9424916776773092,Solicitud de información básica.,0.9874681389628577,2024-12-25 03:09:21,2024-12-25 03:09:22,0.9757449270452729
user_basico_1,0,4,1,0,0,0.6180823559116894,Solicitud de información básica.,3.115653506314816,2024-12-25 03:09:21,2024-12-25 03:09:22,1.4033582215490135
user_intermedio_2,1,7,0,0,1,0.4107790062518697,Despliegue de aplicación en entorno de prueba.,15.429601072719581,2024-12-25 03:09:21,2024-12-25 03:09:23,1.63720575376241
user_intermedio_2,1,6,0,0,1,0.5130306833855409,Ejecución de script Python para análisis.,10.8982298898054,2024-12-25 03:09:21,2024-12-25 03:09:21,0.4809796623561037
user_avanzado_1,2,4,0,1,0,0.7163468440704247,Evaluación de métricas avanzadas.,10.669478577851264,2024-12-25 03:09:21,2024-12-25 03:09:22,1.5863463949647754
user_avanzado_1,2,7,0,0,1,0.7891434699550492,Despliegue de aplicación en entorno de prueba.,14.490319660828497,2024-12-25 03:09:21,2024-12-25 03:09:22,0.6282980572032684
user_intermedio_1,1,4,0,1,0,0.6228604319439209,Análisis detallado de rendimiento.,10.241270654385374,2024-12-25 03:09:21,2024-12-25 03:09:22,0.7584714626349
user_basico_2,0,6,0,0,1,0.5572432872363249,Ejecución de script Python para análisis.,10.18724121751705,2024-12-25 03:09:21,2024-12-25 03:09:22,1.5739715676740422
user_avanzado_1,2,6,1,0,0,0.13858487948337822,Petición de datos de uso recientes.,5.460429392692193,2024-12-25 03:09:21,2024-12-25 03:09:22,0.6547100724446343
user_basico_1,0,4,1,0,0,0.9785785210466252,Solicitud de información básica.,0.08081472867965322,2024-12-25 03:09:21,2024-12-25 03:09:23,1.6786702417568367
user_basico_2,0,6,0,0,1,0.37822369962738633,Ejecución de script Python para análisis.,13.492568855644063,2024-12-25 03:09:21,2024-12-25 03:09:22,0.728246793138998
user_avanzado_2,2,6,0,0,1,0.7243119109278469,Ejecución de script Python para análisis.,19.05182366471653,2024-12-25 03:09:21,2024-12-25 03:09:21,0.39552162056409235
user_avanzado_1,2,6,1,0,0,0.8848343402342786,Petición de datos de uso recientes.,4.477607786469672,2024-12-25 03:09:21,2024-12-25 03:09:21,0.2828609989803369
user_avanzado_1,2,7,1,0,0,0.3306769834294295,Consulta rápida sobre el estado del servidor.,5.83791174903012,2024-12-25 03:09:21,2024-12-25 03:09:23,1.8781229757938775
user_avanzado_2,2,4,1,0,0,0.11687347420242156,Solicitud de información básica.,5.977889728652592,2024-12-25 03:09:21,2024-12-25 03:09:22,1.4454859060271081
user_avanzado_1,2,7,0,0,1,0.37814583453418127,Despliegue de aplicación en entorno de prueba.,12.291005039966333,2024-12-25 03:09:21,2024-12-25 03:09:21,0.36822422728559767
user_basico_2,0,4,1,0,0,0.7015347345177944,Solicitud de información básica.,3.6533558376100723,2024-12-25 03:09:21,2024-12-25 03:09:22,1.4940189866092906
user_basico_1,0,6,0,0,1,0.8418944483484472,Ejecución de script Python para análisis.,10.84453629733894,2024-12-25 03:09:21,2024-12-25 03:09:22,1.3793897810036975
